date,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent
8/24/20,35-49,167839,0.249,692,0.058
8/24/20,50-59,93848,0.139,1230,0.102
8/24/20,60-64,33999,0.051,983,0.082
8/24/20,65-69,23270,0.035,1204,0.1
8/24/20,70-74,16064,0.024,1367,0.114
8/24/20,75-79,11141,0.017,1368,0.114
8/24/20,80+,21883,0.033,4975,0.414
8/23/20,0-4,14190,0.021,0,0
8/23/20,17-May,52638,0.079,2,0
8/23/20,18-34,235163,0.352,177,0.015
8/23/20,35-49,166797,0.249,691,0.058
8/23/20,50-59,93218,0.139,1229,0.103
8/23/20,60-64,33780,0.051,980,0.082
8/23/20,65-69,23119,0.035,1199,0.1
8/23/20,70-74,15977,0.024,1362,0.114
8/23/20,75-79,11079,0.017,1362,0.114
8/23/20,80+,21726,0.032,4950,0.414
8/21/20,0-4,14059,0.021,0,0
8/21/20,17-May,52145,0.079,2,0
8/21/20,18-34,233463,0.352,178,0.015
8/21/20,35-49,165597,0.25,688,0.058
8/21/20,50-59,92513,0.139,1226,0.103
8/21/20,60-64,33528,0.051,978,0.082
8/21/20,65-69,22966,0.035,1198,0.1
8/21/20,70-74,15878,0.024,1363,0.114
8/21/20,75-79,11006,0.017,1362,0.114
8/21/20,80+,21605,0.033,4947,0.414
8/20/20,0-4,13716,0.021,0,0
8/20/20,17-May,50857,0.078,2,0
8/20/20,18-34,228955,0.352,169,0.015
8/20/20,35-49,162366,0.25,673,0.058
8/20/20,50-59,90721,0.139,1186,0.102
8/20/20,60-64,32870,0.051,956,0.082
8/20/20,65-69,22500,0.035,1145,0.099
8/20/20,70-74,15582,0.024,1321,0.114
8/20/20,75-79,10764,0.017,1323,0.114
8/20/20,80+,21111,0.032,4812,0.415
8/19/20,0-4,13578,0.021,0,0
8/19/20,17-May,50331,0.078,1,0
8/19/20,18-34,227044,0.352,167,0.015
8/19/20,35-49,160990,0.25,666,0.058
8/19/20,50-59,89952,0.14,1171,0.102
8/19/20,60-64,32602,0.051,941,0.082
8/19/20,65-69,22309,0.035,1138,0.099
8/19/20,70-74,15461,0.024,1312,0.114
8/19/20,75-79,10672,0.017,1306,0.114
8/19/20,80+,20938,0.032,4761,0.415
8/18/20,0-4,13392,0.021,0,0
8/18/20,17-May,49726,0.078,1,0
8/18/20,18-34,225012,0.352,163,0.014
8/18/20,35-49,159512,0.25,649,0.057
8/18/20,50-59,89201,0.14,1156,0.102
8/18/20,60-64,32320,0.051,928,0.082
8/18/20,65-69,22119,0.035,1122,0.099
8/18/20,70-74,15343,0.024,1296,0.115
8/18/20,75-79,10587,0.017,1290,0.114
8/18/20,80+,20757,0.032,4693,0.415
8/17/20,0-4,13195,0.021,0,0
8/17/20,17-May,49038,0.078,1,0
8/17/20,18-34,222911,0.352,165,0.015
8/17/20,35-49,158012,0.25,640,0.057
8/17/20,50-59,88414,0.14,1138,0.102
8/17/20,60-64,32026,0.051,909,0.082
8/17/20,65-69,21921,0.035,1106,0.099
8/17/20,70-74,15223,0.024,1275,0.114
8/17/20,75-79,10504,0.017,1265,0.114
8/17/20,80+,20563,0.033,4642,0.417
8/16/20,0-4,13050,0.021,0,0
8/16/20,17-May,48488,0.077,1,0
8/16/20,18-34,221337,0.352,161,0.014
8/16/20,35-49,156849,0.25,639,0.057
8/16/20,50-59,87818,0.14,1135,0.102
8/16/20,60-64,31811,0.051,906,0.082
8/16/20,65-69,21779,0.035,1102,0.099
8/16/20,70-74,15135,0.024,1274,0.115
8/16/20,75-79,10457,0.017,1265,0.114
8/16/20,80+,20445,0.033,4627,0.416
8/13/20,0-4,12329,0.021,0,0
8/13/20,17-May,45817,0.076,1,0
8/13/20,18-34,212134,0.353,160,0.015
8/13/20,35-49,150210,0.25,623,0.058
8/13/20,50-59,84175,0.14,1104,0.102
8/13/20,60-64,30458,0.051,870,0.08
8/13/20,65-69,20851,0.035,1076,0.099
8/13/20,70-74,14526,0.024,1239,0.114
8/13/20,75-79,10027,0.017,1230,0.114
8/13/20,80+,19712,0.033,4526,0.418
8/12/20,0-4,12129,0.02,0,0
8/12/20,17-May,45101,0.076,1,0
8/12/20,18-34,209467,0.353,157,0.015
8/12/20,35-49,148209,0.25,612,0.057
8/12/20,50-59,83042,0.14,1083,0.102
8/12/20,60-64,30057,0.051,858,0.08
8/12/20,65-69,20582,0.035,1063,0.1
8/12/20,70-74,14333,0.024,1221,0.114
8/12/20,75-79,9904,0.017,1208,0.113
8/12/20,80+,19479,0.033,4461,0.418
8/11/20,0-4,11953,0.02,0,0
8/11/20,17-May,44323,0.076,1,0
8/11/20,18-34,207037,0.353,156,0.015
8/11/20,35-49,146481,0.25,607,0.058
8/11/20,50-59,82086,0.14,1066,0.102
8/11/20,60-64,29725,0.051,844,0.08
8/11/20,65-69,20363,0.035,1043,0.099
8/11/20,70-74,14169,0.024,1197,0.114
8/11/20,75-79,9803,0.017,1192,0.114
8/11/20,80+,19282,0.033,4384,0.418
8/10/20,0-4,11650,0.02,0,0
8/10/20,17-May,43128,0.075,1,0
8/10/20,18-34,203019,0.353,153,0.015
8/10/20,35-49,143618,0.25,597,0.058
8/10/20,50-59,80529,0.14,1036,0.101
8/10/20,60-64,29185,0.051,827,0.081
8/10/20,65-69,20000,0.035,1021,0.099
8/10/20,70-74,13887,0.024,1163,0.113
8/10/20,75-79,9604,0.017,1168,0.114
8/10/20,80+,19015,0.033,4305,0.419
8/9/20,0-4,11333,0.02,0,0
8/9/20,17-May,41803,0.074,1,0
8/9/20,18-34,198622,0.353,153,0.015
8/9/20,35-49,140613,0.25,597,0.058
8/9/20,50-59,78779,0.14,1032,0.101
8/9/20,60-64,28521,0.051,824,0.08
8/9/20,65-69,19603,0.035,1019,0.099
8/9/20,70-74,13662,0.024,1159,0.113
8/9/20,75-79,9439,0.017,1162,0.113
8/9/20,80+,18760,0.033,4298,0.419
8/8/20,0-4,11133,0.02,0,0
8/8/20,17-May,40971,0.074,1,0
8/8/20,18-34,195808,0.353,150,0.015
8/8/20,35-49,138811,0.25,595,0.058
8/8/20,50-59,77706,0.14,1025,0.101
8/8/20,60-64,28154,0.051,813,0.08
8/8/20,65-69,19380,0.035,1010,0.099
8/8/20,70-74,13500,0.024,1148,0.113
8/8/20,75-79,9354,0.017,1151,0.113
8/8/20,80+,18595,0.034,4278,0.421
8/6/20,0-4,10730,0.02,0,0
8/6/20,17-May,39463,0.073,1,0
8/6/20,18-34,190428,0.354,146,0.015
8/6/20,35-49,134855,0.25,568,0.058
8/6/20,50-59,75559,0.14,976,0.1
8/6/20,60-64,27382,0.051,782,0.08
8/6/20,65-69,18852,0.035,965,0.098
8/6/20,70-74,13144,0.024,1105,0.113
8/6/20,75-79,9134,0.017,1111,0.113
8/6/20,80+,18152,0.034,4152,0.423
8/5/20,0-4,10523,0.02,0,0
8/5/20,17-May,38635,0.073,1,0
8/5/20,18-34,187560,0.354,144,0.015
8/5/20,35-49,132714,0.25,555,0.057
8/5/20,50-59,74464,0.141,961,0.099
8/5/20,60-64,26940,0.051,770,0.08
8/5/20,65-69,18582,0.035,944,0.098
8/5/20,70-74,12936,0.024,1087,0.113
8/5/20,75-79,9014,0.017,1091,0.113
8/5/20,80+,17926,0.034,4106,0.425
8/4/20,0-4,10370,0.02,0,0
8/4/20,17-May,38154,0.073,1,0
8/4/20,18-34,185766,0.354,142,0.015
8/4/20,35-49,131521,0.251,548,0.058
8/4/20,50-59,73772,0.141,945,0.099
8/4/20,60-64,26636,0.051,748,0.079
8/4/20,65-69,18393,0.035,932,0.098
8/4/20,70-74,12805,0.024,1074,0.113
8/4/20,75-79,8899,0.017,1072,0.113
8/4/20,80+,17750,0.034,4057,0.426
8/3/20,0-4,10247,0.02,0,0
8/3/20,17-May,37673,0.073,1,0
8/3/20,18-34,184008,0.354,137,0.015
8/3/20,35-49,130230,0.251,539,0.058
8/3/20,50-59,73050,0.141,931,0.1
8/3/20,60-64,26333,0.051,721,0.077
8/3/20,65-69,18218,0.035,910,0.097
8/3/20,70-74,12661,0.024,1052,0.113
8/3/20,75-79,8794,0.017,1058,0.113
8/3/20,80+,17574,0.034,3999,0.428
8/1/20,0-4,9972,0.02,0,0
8/1/20,17-May,36584,0.072,0,0
8/1/20,18-34,180410,0.354,135,0.015
8/1/20,35-49,127704,0.251,531,0.057
8/1/20,50-59,71672,0.141,918,0.099
8/1/20,60-64,25879,0.051,708,0.077
8/1/20,65-69,17896,0.035,902,0.097
8/1/20,70-74,12438,0.024,1039,0.112
8/1/20,75-79,8624,0.017,1055,0.114
8/1/20,80+,17248,0.034,3963,0.428
7/31/20,0-4,9773,0.02,0,0
7/31/20,17-May,35747,0.071,0,0
7/31/20,18-34,177177,0.354,132,0.015
7/31/20,35-49,125562,0.251,517,0.057
7/31/20,50-59,70453,0.141,901,0.099
7/31/20,60-64,25439,0.051,693,0.076
7/31/20,65-69,17603,0.035,884,0.097
7/31/20,70-74,12244,0.024,1016,0.112
7/31/20,75-79,8499,0.017,1040,0.114
7/31/20,80+,17014,0.034,3911,0.43
7/28/20,0-4,9196,0.019,0,0
7/28/20,17-May,33501,0.07,0,0
7/28/20,18-34,168009,0.353,113,0.013
7/28/20,35-49,119404,0.251,493,0.058
7/28/20,50-59,67132,0.141,846,0.099
7/28/20,60-64,24333,0.051,651,0.076
7/28/20,65-69,16849,0.035,825,0.097
7/28/20,70-74,11714,0.025,941,0.11
7/28/20,75-79,8162,0.017,971,0.114
7/28/20,80+,16413,0.035,3676,0.432
7/27/20,0-4,9018,0.019,0,0
7/27/20,17-May,32818,0.07,0,0
7/27/20,18-34,164764,0.353,108,0.013
7/27/20,35-49,117244,0.251,481,0.057
7/27/20,50-59,65938,0.141,832,0.099
7/27/20,60-64,23931,0.051,637,0.076
7/27/20,65-69,16556,0.035,818,0.097
7/27/20,70-74,11530,0.025,934,0.111
7/27/20,75-79,8040,0.017,965,0.114
7/27/20,80+,16176,0.035,3661,0.434
7/26/20,0-4,8892,0.019,0,0
7/26/20,17-May,32256,0.07,0,0
7/26/20,18-34,162522,0.353,108,0.013
7/26/20,35-49,115773,0.251,477,0.057
7/26/20,50-59,65155,0.141,832,0.099
7/26/20,60-64,23645,0.051,635,0.075
7/26/20,65-69,16378,0.036,814,0.097
7/26/20,70-74,11419,0.025,930,0.111
7/26/20,75-79,7930,0.017,963,0.114
7/26/20,80+,16045,0.035,3653,0.434
7/24/20,0-4,8500,0.019,0,0
7/24/20,17-May,30896,0.069,0,0
7/24/20,18-34,157028,0.353,106,0.013
7/24/20,35-49,111903,0.251,461,0.056
7/24/20,50-59,63066,0.142,813,0.099
7/24/20,60-64,22968,0.052,617,0.075
7/24/20,65-69,15906,0.036,794,0.096
7/24/20,70-74,11172,0.025,907,0.11
7/24/20,75-79,7749,0.017,950,0.115
7/24/20,80+,15691,0.035,3594,0.436
7/23/20,0-4,8281,0.019,0,0
7/23/20,17-May,30020,0.069,0,0
7/23/20,18-34,153433,0.352,105,0.013
7/23/20,35-49,109347,0.251,442,0.055
7/23/20,50-59,61607,0.142,793,0.098
7/23/20,60-64,22507,0.052,609,0.075
7/23/20,65-69,15613,0.036,774,0.096
7/23/20,70-74,10963,0.025,892,0.11
7/23/20,75-79,7619,0.018,942,0.116
7/23/20,80+,15453,0.035,3539,0.437
7/22/20,0-4,8073,0.019,0,0
7/22/20,17-May,29262,0.069,0,0
7/22/20,18-34,149968,0.352,97,0.012
7/22/20,35-49,106885,0.251,429,0.054
7/22/20,50-59,60232,0.142,778,0.098
7/22/20,60-64,21985,0.052,593,0.075
7/22/20,65-69,15272,0.036,760,0.096
7/22/20,70-74,10756,0.025,870,0.109
7/22/20,75-79,7501,0.018,935,0.118
7/22/20,80+,15215,0.036,3487,0.439
7/21/20,0-4,7781,0.019,0,0
7/21/20,17-May,28181,0.068,0,0
7/21/20,18-34,145577,0.352,96,0.012
7/21/20,35-49,103835,0.251,420,0.054
7/21/20,50-59,58648,0.142,758,0.097
7/21/20,60-64,21408,0.052,579,0.074
7/21/20,65-69,14916,0.036,749,0.096
7/21/20,70-74,10504,0.025,847,0.109
7/21/20,75-79,7343,0.018,921,0.118
7/21/20,80+,14910,0.036,3423,0.439
7/20/20,0-4,7500,0.019,0,0
7/20/20,17-May,27117,0.068,0,0
7/20/20,18-34,140731,0.351,95,0.012
7/20/20,35-49,100675,0.251,413,0.054
7/20/20,50-59,56976,0.142,743,0.097
7/20/20,60-64,20811,0.052,574,0.075
7/20/20,65-69,14475,0.036,728,0.095
7/20/20,70-74,10255,0.026,834,0.109
7/20/20,75-79,7161,0.018,909,0.118
7/20/20,80+,14604,0.036,3381,0.44
7/19/20,0-4,7326,0.019,0,0
7/19/20,17-May,26304,0.067,0,0
7/19/20,18-34,137150,0.35,94,0.012
7/19/20,35-49,98363,0.251,412,0.054
7/19/20,50-59,55756,0.142,739,0.097
7/19/20,60-64,20423,0.052,572,0.075
7/19/20,65-69,14223,0.036,725,0.095
7/19/20,70-74,10065,0.026,830,0.108
7/19/20,75-79,7043,0.018,907,0.119
7/19/20,80+,14428,0.037,3372,0.441
7/18/20,0-4,7184,0.019,0,0
7/18/20,17-May,25729,0.067,0,0
7/18/20,18-34,134490,0.35,94,0.012
7/18/20,35-49,96681,0.251,411,0.054
7/18/20,50-59,54891,0.143,736,0.097
7/18/20,60-64,20108,0.052,570,0.075
7/18/20,65-69,13987,0.036,721,0.095
7/18/20,70-74,9942,0.026,828,0.109
7/18/20,75-79,6972,0.018,903,0.119
7/18/20,80+,14265,0.037,3357,0.441
7/7/20,0-4,5274,0.018,0,0
7/7/20,17-May,18686,0.065,0,0
7/7/20,18-34,97289,0.336,76,0.012
7/7/20,35-49,72966,0.252,334,0.052
7/7/20,50-59,42199,0.146,610,0.094
7/7/20,60-64,15818,0.055,459,0.071
7/7/20,65-69,11045,0.038,587,0.091
7/7/20,70-74,7923,0.027,686,0.106
7/7/20,75-79,5746,0.02,768,0.119
7/7/20,80+,12197,0.042,2954,0.456
6/30/20,0-4,4179,0.018,0,0
6/30/20,17-May,14493,0.062,0,0
6/30/20,18-34,74664,0.321,63,0.011
6/30/20,35-49,58794,0.253,292,0.049
6/30/20,50-59,34890,0.15,555,0.093
6/30/20,60-64,13259,0.057,430,0.072
6/30/20,65-69,9340,0.04,542,0.091
6/30/20,70-74,6787,0.029,640,0.107
6/30/20,75-79,5038,0.022,721,0.121
6/30/20,80+,10980,0.047,2734,0.457
6/29/20,0-4,3967,0.018,0,0
6/29/20,17-May,13772,0.062,0,0
6/29/20,18-34,70732,0.317,62,0.011
6/29/20,35-49,56350,0.253,289,0.049
6/29/20,50-59,33667,0.151,545,0.093
6/29/20,60-64,12819,0.058,422,0.072
6/29/20,65-69,9075,0.041,536,0.091
6/29/20,70-74,6598,0.03,629,0.107
6/29/20,75-79,4929,0.022,710,0.121
6/29/20,80+,10777,0.048,2683,0.457
6/28/20,0-4,3854,0.018,0,0
6/28/20,17-May,13303,0.061,0,0
6/28/20,18-34,68070,0.314,62,0.011
6/28/20,35-49,54763,0.253,288,0.049
6/28/20,50-59,32859,0.152,543,0.093
6/28/20,60-64,12575,0.058,421,0.072
6/28/20,65-69,8895,0.041,535,0.091
6/28/20,70-74,6495,0.03,625,0.107
6/28/20,75-79,4855,0.022,706,0.121
6/28/20,80+,10648,0.049,2669,0.456
6/27/20,0-4,3732,0.018,0,0
6/27/20,17-May,12814,0.061,0,0
6/27/20,18-34,65670,0.312,62,0.011
6/27/20,35-49,53253,0.253,287,0.049
6/27/20,50-59,32097,0.153,539,0.093
6/27/20,60-64,12286,0.058,415,0.071
6/27/20,65-69,8701,0.041,531,0.091
6/27/20,70-74,6351,0.03,621,0.107
6/27/20,75-79,4775,0.023,701,0.121
6/27/20,80+,10506,0.05,2653,0.457
6/25/20,0-4,3464,0.017,0,0
6/25/20,17-May,11985,0.06,0,0
6/25/20,18-34,61786,0.308,61,0.011
6/25/20,35-49,50761,0.253,283,0.05
6/25/20,50-59,30877,0.154,530,0.093
6/25/20,60-64,11844,0.059,402,0.07
6/25/20,65-69,8418,0.042,523,0.091
6/25/20,70-74,6160,0.031,607,0.106
6/25/20,75-79,4656,0.023,691,0.121
6/25/20,80+,10310,0.051,2619,0.458
6/23/20,0-4,3246,0.017,0,0
6/23/20,17-May,11278,0.059,0,0
6/23/20,18-34,57991,0.305,59,0.011
6/23/20,35-49,48062,0.253,273,0.05
6/23/20,50-59,29529,0.155,502,0.091
6/23/20,60-64,11394,0.06,387,0.07
6/23/20,65-69,8113,0.043,502,0.091
6/23/20,70-74,5917,0.031,586,0.107
6/23/20,75-79,4476,0.024,673,0.122
6/23/20,80+,10022,0.053,2516,0.458
6/21/20,0-4,2988,0.017,0,0
6/21/20,17-May,10358,0.058,0,0
6/21/20,18-34,53400,0.3,59,0.011
6/21/20,35-49,44869,0.252,268,0.049
6/21/20,50-59,27940,0.157,499,0.092
6/21/20,60-64,10855,0.061,376,0.069
6/21/20,65-69,7750,0.044,494,0.091
6/21/20,70-74,5665,0.032,580,0.107
6/21/20,75-79,4306,0.024,665,0.123
6/21/20,80+,9735,0.055,2483,0.458
6/20/20,0-4,2880,0.017,0,0
6/20/20,17-May,10017,0.058,0,0
6/20/20,18-34,51816,0.298,59,0.011
6/20/20,35-49,43697,0.251,267,0.049
6/20/20,50-59,27390,0.158,495,0.092
6/20/20,60-64,10656,0.061,373,0.069
6/20/20,65-69,7636,0.044,490,0.091
6/20/20,70-74,5606,0.032,580,0.107
6/20/20,75-79,4269,0.025,663,0.123
6/20/20,80+,9662,0.056,2474,0.458
6/19/20,0-4,2769,0.016,0,0
6/19/20,17-May,9672,0.057,0,0
6/19/20,18-34,50190,0.296,59,0.011
6/19/20,35-49,42513,0.251,263,0.049
6/19/20,50-59,26771,0.158,484,0.091
6/19/20,60-64,10442,0.062,367,0.069
6/19/20,65-69,7502,0.044,483,0.091
6/19/20,70-74,5499,0.032,564,0.106
6/19/20,75-79,4197,0.025,652,0.123
6/19/20,80+,9543,0.056,2445,0.46
6/16/20,0-4,2475,0.016,0,0
6/16/20,17-May,8589,0.055,0,0
6/16/20,18-34,45832,0.292,56,0.011
6/16/20,35-49,39493,0.252,256,0.051
6/16/20,50-59,25077,0.16,460,0.091
6/16/20,60-64,9845,0.063,352,0.07
6/16/20,65-69,7093,0.045,465,0.092
6/16/20,70-74,5237,0.033,529,0.104
6/16/20,75-79,4009,0.026,619,0.122
6/16/20,80+,9164,0.058,2326,0.459
6/15/20,0-4,2387,0.016,0,0
6/15/20,17-May,8315,0.054,0,0
6/15/20,18-34,44670,0.291,56,0.011
6/15/20,35-49,38584,0.251,252,0.05
6/15/20,50-59,24633,0.16,453,0.091
6/15/20,60-64,9657,0.063,348,0.07
6/15/20,65-69,6948,0.045,458,0.092
6/15/20,70-74,5159,0.034,519,0.104
6/15/20,75-79,3951,0.026,614,0.123
6/15/20,80+,9051,0.059,2301,0.46
6/14/20,0-4,2330,0.015,0,0
6/14/20,17-May,8121,0.054,0,0
6/14/20,18-34,43836,0.289,56,0.011
6/14/20,35-49,38107,0.252,251,0.05
6/14/20,50-59,24306,0.16,450,0.09
6/14/20,60-64,9565,0.063,348,0.07
6/14/20,65-69,6894,0.046,458,0.092
6/14/20,70-74,5126,0.034,518,0.104
6/14/20,75-79,3932,0.026,609,0.122
6/14/20,80+,9029,0.06,2289,0.46
6/13/20,0-4,2272,0.015,0,0
6/13/20,17-May,7912,0.053,0,0
6/13/20,18-34,42906,0.288,55,0.011
6/13/20,35-49,37442,0.252,249,0.05
6/13/20,50-59,23926,0.161,447,0.09
6/13/20,60-64,9431,0.063,345,0.07
6/13/20,65-69,6841,0.046,457,0.092
6/13/20,70-74,5054,0.034,516,0.104
6/13/20,75-79,3901,0.026,605,0.122
6/13/20,80+,8966,0.06,2286,0.461
6/12/20,0-4,2194,0.015,0,0
6/12/20,17-May,7625,0.052,0,0
6/12/20,18-34,41766,0.287,52,0.011
6/12/20,35-49,36675,0.252,244,0.05
6/12/20,50-59,23486,0.161,439,0.09
6/12/20,60-64,9297,0.064,339,0.069
6/12/20,65-69,6735,0.046,450,0.092
6/12/20,70-74,4980,0.034,506,0.104
6/12/20,75-79,3841,0.026,601,0.123
6/12/20,80+,8847,0.061,2247,0.461
6/10/20,0-4,2034,0.015,0,0
6/10/20,17-May,7102,0.051,0,0
6/10/20,18-34,39624,0.284,52,0.011
6/10/20,35-49,34998,0.251,239,0.05
6/10/20,50-59,22533,0.162,429,0.09
6/10/20,60-64,8997,0.065,327,0.069
6/10/20,65-69,6531,0.047,440,0.092
6/10/20,70-74,4859,0.035,497,0.104
6/10/20,75-79,3742,0.027,588,0.123
6/10/20,80+,8674,0.062,2196,0.46
6/9/20,0-4,1956,0.014,0,0
6/9/20,17-May,6844,0.05,0,0
6/9/20,18-34,38568,0.283,49,0.011
6/9/20,35-49,34261,0.252,231,0.05
6/9/20,50-59,22071,0.162,419,0.09
6/9/20,60-64,8843,0.065,322,0.069
6/9/20,65-69,6426,0.047,430,0.092
6/9/20,70-74,4795,0.035,486,0.104
6/9/20,75-79,3686,0.027,575,0.123
6/9/20,80+,8562,0.063,2151,0.461
6/7/20,0-4,1826,0.014,0,0
6/7/20,17-May,6422,0.049,0,0
6/7/20,18-34,36930,0.281,49,0.011
6/7/20,35-49,32985,0.251,222,0.049
6/7/20,50-59,21394,0.163,403,0.089
6/7/20,60-64,8631,0.066,312,0.069
6/7/20,65-69,6265,0.048,420,0.093
6/7/20,70-74,4698,0.036,472,0.104
6/7/20,75-79,3621,0.028,554,0.122
6/7/20,80+,8355,0.064,2096,0.463
6/6/20,0-4,1765,0.014,0,0
6/6/20,17-May,6182,0.048,0,0
6/6/20,18-34,36051,0.28,49,0.011
6/6/20,35-49,32361,0.251,220,0.049
6/6/20,50-59,21049,0.163,400,0.089
6/6/20,60-64,8507,0.066,309,0.069
6/6/20,65-69,6187,0.048,419,0.093
6/6/20,70-74,4637,0.036,471,0.105
6/6/20,75-79,3593,0.028,550,0.122
6/6/20,80+,8287,0.064,2083,0.463
6/4/20,0-4,1637,0.013,0,0
6/4/20,17-May,5771,0.047,0,0
6/4/20,18-34,33992,0.277,48,0.011
6/4/20,35-49,30922,0.252,209,0.048
6/4/20,50-59,20181,0.164,385,0.088
6/4/20,60-64,8215,0.067,301,0.069
6/4/20,65-69,5970,0.049,407,0.093
6/4/20,70-74,4492,0.037,460,0.105
6/4/20,75-79,3479,0.028,535,0.122
6/4/20,80+,8061,0.066,2023,0.463
6/3/20,0-4,1575,0.013,0,0
6/3/20,17-May,5544,0.046,0,0
6/3/20,18-34,33029,0.276,47,0.011
6/3/20,35-49,30123,0.251,203,0.047
6/3/20,50-59,19730,0.165,378,0.088
6/3/20,60-64,8032,0.067,293,0.068
6/3/20,65-69,5865,0.049,401,0.093
6/3/20,70-74,4415,0.037,454,0.106
6/3/20,75-79,3410,0.028,528,0.123
6/3/20,80+,7905,0.066,1994,0.464
6/2/20,0-4,1528,0.013,0,0
6/2/20,17-May,5397,0.046,0,0
6/2/20,18-34,32315,0.275,46,0.011
6/2/20,35-49,29581,0.251,202,0.048
6/2/20,50-59,19418,0.165,375,0.089
6/2/20,60-64,7916,0.067,287,0.068
6/2/20,65-69,5807,0.049,394,0.093
6/2/20,70-74,4356,0.037,446,0.105
6/2/20,75-79,3371,0.029,518,0.122
6/2/20,80+,7820,0.066,1963,0.464
6/1/20,0-4,1471,0.013,0,0
6/1/20,17-May,5235,0.045,0,0
6/1/20,18-34,31535,0.273,45,0.011
6/1/20,35-49,28958,0.251,190,0.046
6/1/20,50-59,19086,0.166,362,0.088
6/1/20,60-64,7794,0.068,280,0.068
6/1/20,65-69,5724,0.05,386,0.094
6/1/20,70-74,4274,0.037,438,0.106
6/1/20,75-79,3316,0.029,508,0.123
6/1/20,80+,7740,0.067,1918,0.465
5/31/20,0-4,1404,0.012,0,0
5/31/20,17-May,5084,0.045,0,0
5/31/20,18-34,30791,0.272,43,0.011
5/31/20,35-49,28353,0.251,188,0.046
5/31/20,50-59,18727,0.166,358,0.088
5/31/20,60-64,7678,0.068,278,0.068
5/31/20,65-69,5637,0.05,381,0.093
5/31/20,70-74,4218,0.037,434,0.106
5/31/20,75-79,3284,0.029,503,0.123
5/31/20,80+,7653,0.068,1895,0.464
5/30/20,0-4,1353,0.012,0,0
5/30/20,17-May,4901,0.044,0,0
5/30/20,18-34,29987,0.271,42,0.01
5/30/20,35-49,27751,0.251,188,0.047
5/30/20,50-59,18410,0.166,355,0.088
5/30/20,60-64,7554,0.068,272,0.067
5/30/20,65-69,5545,0.05,374,0.093
5/30/20,70-74,4147,0.038,430,0.106
5/30/20,75-79,3229,0.029,500,0.124
5/30/20,80+,7534,0.068,1882,0.465
5/29/20,0-4,1269,0.012,0,0
5/29/20,17-May,4592,0.043,0,0
5/29/20,18-34,28753,0.269,42,0.011
5/29/20,35-49,26799,0.251,186,0.047
5/29/20,50-59,17845,0.167,351,0.088
5/29/20,60-64,7378,0.069,267,0.067
5/29/20,65-69,5418,0.051,372,0.093
5/29/20,70-74,4056,0.038,427,0.107
5/29/20,75-79,3177,0.03,489,0.123
5/29/20,80+,7422,0.069,1851,0.464
5/28/20,0-4,1204,0.012,0,0
5/28/20,17-May,4338,0.042,0,0
5/28/20,18-34,27736,0.267,41,0.011
5/28/20,35-49,26059,0.251,181,0.046
5/28/20,50-59,17403,0.168,339,0.087
5/28/20,60-64,7214,0.069,260,0.067
5/28/20,65-69,5319,0.051,366,0.094
5/28/20,70-74,3981,0.038,418,0.107
5/28/20,75-79,3127,0.03,485,0.124
5/28/20,80+,7346,0.071,1814,0.465
5/27/20,0-4,1167,0.011,0,0
5/27/20,17-May,4204,0.041,0,0
5/27/20,18-34,27064,0.266,41,0.011
5/27/20,35-49,25491,0.251,177,0.046
5/27/20,50-59,17063,0.168,330,0.086
5/27/20,60-64,7091,0.07,249,0.065
5/27/20,65-69,5235,0.051,359,0.094
5/27/20,70-74,3909,0.038,410,0.107
5/27/20,75-79,3090,0.03,475,0.124
5/27/20,80+,7228,0.071,1775,0.465
5/22/20,0-4,935,0.01,0,0
5/22/20,17-May,3338,0.037,0,0
5/22/20,18-34,23501,0.259,36,0.01
5/22/20,35-49,22630,0.25,167,0.047
5/22/20,50-59,15455,0.171,310,0.086
5/22/20,60-64,6483,0.072,234,0.065
5/22/20,65-69,4819,0.053,342,0.095
5/22/20,70-74,3614,0.04,381,0.106
5/22/20,75-79,2837,0.032,441,0.124
5/22/20,80+,6841,0.075,1669,0.465
5/21/20,0-4,883,0.01,0,0
5/21/20,17-May,3166,0.036,0,0
5/21/20,18-34,22869,0.259,36,0.01
5/21/20,35-49,22083,0.25,167,0.047
5/21/20,50-59,15096,0.171,306,0.086
5/21/20,60-64,6365,0.072,230,0.065
5/21/20,65-69,4740,0.054,337,0.095
5/21/20,70-74,3547,0.04,371,0.105
5/21/20,75-79,2837,0.032,441,0.124
5/21/20,80+,6740,0.076,1656,0.467
